cusotmer_id,customer_name,customer_mobile,frequency
jxsWA4,tom.jxsWA4,+886894351180,10
bykFkM,percy.bykFkM,+886444636606,8
A0Pxoj,tom.A0Pxoj,+886351647597,7
vwvgBQ,eden.vwvgBQ,+886738235098,15
VgaIQZ,willy.VgaIQZ,+886423889936,14
jhiBn4,eden.jhiBn4,+886252171602,8
TRDC3g,tom.TRDC3g,+886008300802,13
UOy14k,james.UOy14k,+886618175061,11
zImN6d,willy.zImN6d,+886565826437,6
BUHhK2,percy.BUHhK2,+886518449949,18
kWyMtB,willy.kWyMtB,+886777748181,6
IqmB2Q,tom.IqmB2Q,+886753443420,1
rnvwYF,james.rnvwYF,+886197527734,5
C7VSlL,eden.C7VSlL,+886383914426,12
ABjqTq,percy.ABjqTq,+886578022181,16
S9nIsg,may.S9nIsg,+886515841955,13
RWx0K4,vivian.RWx0K4,+886490042534,6
iy9GKB,willy.iy9GKB,+886606771551,14
mIydmy,percy.mIydmy,+886991105749,0
A2pbXb,eve.A2pbXb,+886581096155,20
xRjdKE,percy.xRjdKE,+886007177008,16
zif3eg,may.zif3eg,+886459210151,11
vczBrj,eve.vczBrj,+886341891874,9
Bi0ss8,tom.Bi0ss8,+886420961165,5
urQWdb,percy.urQWdb,+886115916439,8
Z6pPD6,kevin.Z6pPD6,+886129952757,14
dZlxla,may.dZlxla,+886415894955,5
iPeABx,tom.iPeABx,+886149110558,7
nZ9CDW,kevin.nZ9CDW,+886218816873,1
e3EHIQ,percy.e3EHIQ,+886474855291,13
JII2iI,eve.JII2iI,+886893608028,11
sQqPKy,james.sQqPKy,+886059335303,1
cbMeRJ,willy.cbMeRJ,+886490570205,17
TM8iFZ,tim.TM8iFZ,+886751709930,19
g8qOWO,james.g8qOWO,+886792773900,18
uQqlzR,percy.uQqlzR,+886742316812,7
AjNp9T,eve.AjNp9T,+886280982136,20
F1xgEB,vivian.F1xgEB,+886718712796,19
bP24YC,vivian.bP24YC,+886242775969,12
CvBQFX,vivian.CvBQFX,+886591604265,12
DhDIrE,tom.DhDIrE,+886062624371,8
i7wznq,vivian.i7wznq,+886160987943,20
uQ2ipX,james.uQ2ipX,+886353694206,18
nLAJQY,vivian.nLAJQY,+886638845652,12
QOZY7b,eden.QOZY7b,+886498299673,3
DmUEdJ,eden.DmUEdJ,+886794092995,2
E0TER0,james.E0TER0,+886805160403,16
WsD8vB,tim.WsD8vB,+886165759717,18
WMdrsk,may.WMdrsk,+886452309619,0
JwA33u,vivian.JwA33u,+886903718639,8
uz43Mg,vivian.uz43Mg,+886489444286,20
f7oi07,willy.f7oi07,+886624478250,7
Asoxn6,willy.Asoxn6,+886791902849,9
c9Cx2L,eve.c9Cx2L,+886357770383,16
aONNcM,vivian.aONNcM,+886833450164,15
UrPLvC,kevin.UrPLvC,+886537677421,18
lMsmyR,tom.lMsmyR,+886801432135,17
VnEPGk,may.VnEPGk,+886348063688,18
I9WE29,tom.I9WE29,+886829322969,7
scVpb4,tom.scVpb4,+886386905963,12
Tp1sOA,kevin.Tp1sOA,+886485278945,7
cqshpV,eden.cqshpV,+886852327259,2
MhNTXX,willy.MhNTXX,+886088961326,6
a1hHRX,tim.a1hHRX,+886942067493,13
SFgm9Y,eden.SFgm9Y,+886866224647,14
TMWu2s,may.TMWu2s,+886226357015,19
w8t5nU,kevin.w8t5nU,+886356726910,17
t9VCq9,tom.t9VCq9,+886961853042,16
dpHuin,tom.dpHuin,+886095214373,4
rExSis,tom.rExSis,+886091980171,17
hocZR1,tom.hocZR1,+886975900221,5
zjsPbV,eve.zjsPbV,+886165993680,10
v7d3MA,may.v7d3MA,+886666876359,20
VOzGVg,may.VOzGVg,+886599640831,9
SaIsrJ,tom.SaIsrJ,+886934377721,9
w363y3,may.w363y3,+886704012849,17
dPSRdJ,kevin.dPSRdJ,+886007725006,0
OHK2Ha,tom.OHK2Ha,+886147717924,5
rPp6EK,vivian.rPp6EK,+886241622833,17
dgPOuq,eve.dgPOuq,+886191063372,14
PfNYrq,tim.PfNYrq,+886557372922,5
hptnbF,eden.hptnbF,+886381668132,2
HXZFkt,eden.HXZFkt,+886878980515,11
wRMzrl,kevin.wRMzrl,+886114956610,12
RaxYdd,willy.RaxYdd,+886822398738,20
MOTujB,eden.MOTujB,+886840344197,17
Li0pk1,james.Li0pk1,+886995607522,3
YEiYWe,eve.YEiYWe,+886553430192,19
azkwuE,kevin.azkwuE,+886244723258,8
DA4GeJ,percy.DA4GeJ,+886324215634,0
hUedje,tom.hUedje,+886041878801,1
Yf1Eni,eve.Yf1Eni,+886025508319,7
Pf2dX5,may.Pf2dX5,+886841492846,2
Mrly6D,eve.Mrly6D,+886662249092,11
uZhSxM,eve.uZhSxM,+886763134685,12
Myj6g1,eden.Myj6g1,+886150956217,7
qtiBPg,tom.qtiBPg,+886800755507,19
ib0SYk,may.ib0SYk,+886899139412,18
uxQqcq,eve.uxQqcq,+886556403523,15
gqFfL2,willy.gqFfL2,+886708497902,14
zflIsE,may.zflIsE,+886436176534,7
X9nFjw,eden.X9nFjw,+886473089394,3
ItxsVY,percy.ItxsVY,+886952639107,15
bh3qXh,vivian.bh3qXh,+886978963044,18
HujimP,eve.HujimP,+886372081877,2
IDVycw,tom.IDVycw,+886465508756,5
ZPHLpZ,may.ZPHLpZ,+886698870023,1
AhgJDW,tim.AhgJDW,+886738168798,7
b26P12,willy.b26P12,+886908961169,19
CBgFjR,eden.CBgFjR,+886841046339,20
QgnkXx,vivian.QgnkXx,+886866679932,0
eAVKjA,may.eAVKjA,+886583136700,16
WbVD7B,percy.WbVD7B,+886360902555,12
W7iWXI,eden.W7iWXI,+886651675636,15
jUu22f,percy.jUu22f,+886293605481,12
s9iSWa,may.s9iSWa,+886902253908,1
fSY1qB,james.fSY1qB,+886144031708,9
CXRhnO,willy.CXRhnO,+886805837521,20
I8o3qb,vivian.I8o3qb,+886301219202,1
XzFR7x,james.XzFR7x,+886070528318,11
V0FsYb,tim.V0FsYb,+886949368887,16
N24LNf,willy.N24LNf,+886686209357,10
HpI2u3,eden.HpI2u3,+886422335083,12
krYUMa,may.krYUMa,+886951714226,10
MvdpcC,james.MvdpcC,+886577651401,6
c302Kf,kevin.c302Kf,+886847633090,13
VOh0on,willy.VOh0on,+886064905600,10
gXAVgh,kevin.gXAVgh,+886716857004,8
HC018Y,tom.HC018Y,+886776309848,13
jYstAw,may.jYstAw,+886672429396,19
Gpvr14,eve.Gpvr14,+886266303347,19
xxNxmq,tim.xxNxmq,+886269123056,12
gdExwd,tom.gdExwd,+886740597497,10
lgIwoE,tom.lgIwoE,+886566088509,14
TwrYLB,tom.TwrYLB,+886301137905,13
SmtkBD,james.SmtkBD,+886889290086,7
KbBJvJ,willy.KbBJvJ,+886624777460,3
ZDyjfg,kevin.ZDyjfg,+886003960681,12
ngcQWi,may.ngcQWi,+886289159969,3
PODgfu,eden.PODgfu,+886266879340,8
ZhDXnp,vivian.ZhDXnp,+886578783818,8
FYJBFw,james.FYJBFw,+886288509833,18
F6WCKt,tom.F6WCKt,+886725644981,13
QpdcKq,tom.QpdcKq,+886764258423,1
XtuoUM,willy.XtuoUM,+886983022713,2
pWNVyi,kevin.pWNVyi,+886880575204,10
uwAOI1,james.uwAOI1,+886580069791,16
DbCbhK,tim.DbCbhK,+886411625973,2
BxEHXe,kevin.BxEHXe,+886458529980,20
m7yI38,eden.m7yI38,+886249517994,20
b6qDtx,may.b6qDtx,+886341536712,3
RZRfZ9,tim.RZRfZ9,+886738522427,18
vBxQtG,james.vBxQtG,+886154433041,15
Tfprh9,percy.Tfprh9,+886125125978,13
WZYV0P,eden.WZYV0P,+886277401615,1
tfKmSK,willy.tfKmSK,+886430537203,13
eDXUbD,tim.eDXUbD,+886939362744,11
YjdyvM,eden.YjdyvM,+886264972654,1
GS3ITk,james.GS3ITk,+886362245857,11
nk1d9H,vivian.nk1d9H,+886335099418,10
LTMoaS,willy.LTMoaS,+886664862703,13
PhOoA6,eden.PhOoA6,+886628521655,20
S0nVez,kevin.S0nVez,+886103814802,10
fIDs5V,eve.fIDs5V,+886371146234,6
SGD0YW,james.SGD0YW,+886167487489,3
xQ13CT,may.xQ13CT,+886772974412,12
gNpoEN,eve.gNpoEN,+886463892047,18
XBqnzX,kevin.XBqnzX,+886475710352,1
sENVVc,tom.sENVVc,+886668812809,4
oVC6sC,eve.oVC6sC,+886554696962,5
R3iZ3i,tom.R3iZ3i,+886578678314,10
JRAbvg,eve.JRAbvg,+886178306364,2
vkvI7k,eve.vkvI7k,+886031635397,2
gxKCK8,percy.gxKCK8,+886367555659,15
VHv7WO,tom.VHv7WO,+886237109774,20
d5Gxeb,may.d5Gxeb,+886708633458,20
tpZPwn,willy.tpZPwn,+886793687153,6
x2Pn7D,james.x2Pn7D,+886572438095,7
K0s5fX,eden.K0s5fX,+886510530410,16
jCcLpI,may.jCcLpI,+886390251492,15
JXYhSP,percy.JXYhSP,+886898246040,0
djTV1t,tom.djTV1t,+886538269771,4
cHuRbd,tim.cHuRbd,+886929131265,12
U7vr3h,eve.U7vr3h,+886865878008,0
yjUMas,tim.yjUMas,+886998729523,9
I6s7e7,vivian.I6s7e7,+886549800637,10
V7WVq9,willy.V7WVq9,+886666276056,2
ReCy0l,may.ReCy0l,+886303683061,9
iRzd6n,eve.iRzd6n,+886124995348,17
v3KNlw,may.v3KNlw,+886246772934,3
HSASEl,kevin.HSASEl,+886128372131,7
Q09jmc,vivian.Q09jmc,+886229905188,14
YLp9K7,james.YLp9K7,+886624810362,6
e6HGsm,kevin.e6HGsm,+886967188775,13
HR7H0w,percy.HR7H0w,+886307421107,18
kHEhuy,kevin.kHEhuy,+886107498475,11
A4MslF,eve.A4MslF,+886472233728,17
xvF6kc,tim.xvF6kc,+886918037947,12
aYFLrE,tom.aYFLrE,+886933585124,6
hpEryJ,kevin.hpEryJ,+886396353084,4
mlemYE,james.mlemYE,+886656227796,16
Wbc8Re,vivian.Wbc8Re,+886061207718,7
A6w81b,james.A6w81b,+886100126655,1
mRwyX5,james.mRwyX5,+886545717213,15
jDYuSD,eden.jDYuSD,+886289526226,12
ekknQA,eve.ekknQA,+886901446116,2
lu64a1,tom.lu64a1,+886695424981,19
lbhJCA,tim.lbhJCA,+886568468915,0
mLavOd,vivian.mLavOd,+886463416295,8
PZqq4e,percy.PZqq4e,+886436400011,17
F7Pa73,willy.F7Pa73,+886950033833,17
TJozs1,kevin.TJozs1,+886477680741,20
nPAWnT,tim.nPAWnT,+886164052341,13
CPlDL1,james.CPlDL1,+886392719657,4
L9FObv,eve.L9FObv,+886460275142,11
YWC28E,percy.YWC28E,+886766932871,13
TZkL5l,may.TZkL5l,+886628550644,2
fYhBhM,james.fYhBhM,+886856859944,10
ISfnLG,eve.ISfnLG,+886360487418,10
Ggb44P,willy.Ggb44P,+886864590349,6
risLBG,james.risLBG,+886957706566,16
EfM33d,tim.EfM33d,+886837281594,12
T8afOD,eden.T8afOD,+886936307360,4
T7BLwO,eden.T7BLwO,+886160965553,19
SWJYDq,eve.SWJYDq,+886253576706,3
IOQ9VC,james.IOQ9VC,+886071681422,20
ZfShwK,tom.ZfShwK,+886916970917,4
wMwIHQ,tom.wMwIHQ,+886756456984,5
s7Bjt3,eve.s7Bjt3,+886350008687,20
N3CEZ9,percy.N3CEZ9,+886840518260,17
LeFGlB,willy.LeFGlB,+886800467738,15
TVGnJH,tim.TVGnJH,+886744869242,15
wXtLft,tim.wXtLft,+886177295584,20
x3KBdO,may.x3KBdO,+886924106126,15
fmm6QG,tom.fmm6QG,+886776945346,0
TpZ6Hu,eden.TpZ6Hu,+886524450193,14
NmV8KW,eden.NmV8KW,+886606663263,4
RNorAi,may.RNorAi,+886788915560,3
xGGcaR,james.xGGcaR,+886521288987,3
afoPc9,vivian.afoPc9,+886459795113,1
mems5X,willy.mems5X,+886554974230,11
HHGlWm,tom.HHGlWm,+886039400326,19
MHXPl3,tim.MHXPl3,+886079037255,14
XYgs4w,may.XYgs4w,+886525573797,2
nWtVWo,vivian.nWtVWo,+886623387764,18
C8Jkkb,tim.C8Jkkb,+886163793548,20
tWDzzQ,willy.tWDzzQ,+886082649301,16
xSQNiN,tom.xSQNiN,+886003371715,3
iYEzoo,eden.iYEzoo,+886213261273,10
jkF30i,kevin.jkF30i,+886488925536,12
MiaRAT,willy.MiaRAT,+886178486369,9
OS7ZFS,eve.OS7ZFS,+886975710538,6
dtmkkD,willy.dtmkkD,+886725177211,14
GGeeH7,willy.GGeeH7,+886600517711,2
RhVWQK,tim.RhVWQK,+886677073750,11
voZMgg,tom.voZMgg,+886050580990,4
wTj7BY,eden.wTj7BY,+886325631847,2
Ryw9Ca,tim.Ryw9Ca,+886871421628,6
ffotGO,may.ffotGO,+886829535993,7
P2D4Vx,percy.P2D4Vx,+886447141901,1
vGrUy2,james.vGrUy2,+886333792639,19
PmaeE0,may.PmaeE0,+886163591000,7
QlY5wl,eden.QlY5wl,+886288058704,8
ndGD0e,may.ndGD0e,+886373943222,18
rfvfM3,willy.rfvfM3,+886565292689,20
IhdaKf,tim.IhdaKf,+886918528853,18
x2Zp4b,tim.x2Zp4b,+886565990621,16
gclR7C,kevin.gclR7C,+886524609908,0
e549Qg,may.e549Qg,+886023305114,5
D51BMp,james.D51BMp,+886459307295,12
Zpp8HN,james.Zpp8HN,+886945389692,12
aPO0bh,vivian.aPO0bh,+886011931769,11
YcJN5v,tom.YcJN5v,+886218373522,9
wvPQEB,eden.wvPQEB,+886540924581,14
sCmKLY,may.sCmKLY,+886202169811,18
ZzU2nv,eve.ZzU2nv,+886861127982,15
ix5R9c,james.ix5R9c,+886879684289,16
hglEET,tim.hglEET,+886403162711,8
Kpimqt,tim.Kpimqt,+886316916057,0
zSv6sv,james.zSv6sv,+886125241891,0
gymjFf,eden.gymjFf,+886892016742,1
yWLkj0,may.yWLkj0,+886920881308,16
mqZLaB,may.mqZLaB,+886692034779,7
M3o5xC,willy.M3o5xC,+886482394522,6
zE2Ur8,percy.zE2Ur8,+886195644669,3
f0XRhf,tom.f0XRhf,+886803746853,3
wH2b7v,james.wH2b7v,+886203562021,2
K2Qg0E,tom.K2Qg0E,+886296737220,7
WYsO0G,willy.WYsO0G,+886222947337,19
ZLGxGE,willy.ZLGxGE,+886627556084,3
prYlzK,willy.prYlzK,+886037706639,8
LeDfQi,vivian.LeDfQi,+886353121737,1
C1c0mx,tim.C1c0mx,+886204723155,8
GLOQYz,eden.GLOQYz,+886510029136,5
InyggA,eve.InyggA,+886136328283,18
tvtAjx,tom.tvtAjx,+886325327217,16
Xgh9e5,eden.Xgh9e5,+886917515610,4
HxNBRQ,tom.HxNBRQ,+886650146766,6
YM3e0U,eve.YM3e0U,+886449483460,6
v5Rsyd,kevin.v5Rsyd,+886108943705,6
GkC0Yp,james.GkC0Yp,+886730904779,11
CKiLho,vivian.CKiLho,+886111806266,0
hFey8M,eden.hFey8M,+886478125666,17
WdHzuM,kevin.WdHzuM,+886165152376,10
jSNFDw,james.jSNFDw,+886655251538,15
sV1vJX,eden.sV1vJX,+886172393921,18
ndhPLP,percy.ndhPLP,+886621528243,8
EFLhts,james.EFLhts,+886087358801,14
QrkbGn,kevin.QrkbGn,+886859893139,3
ywlrGG,tom.ywlrGG,+886313171927,6
kofx8c,tim.kofx8c,+886214538841,4
n8jflK,may.n8jflK,+886337705955,16
QRYbNY,may.QRYbNY,+886604004562,18
QZ7KuW,james.QZ7KuW,+886900034265,4
bJsxPJ,tim.bJsxPJ,+886856644948,12
ZdJVpR,willy.ZdJVpR,+886586304337,19
kKoUrZ,willy.kKoUrZ,+886005705636,11
Lg20By,willy.Lg20By,+886746568923,4
rlKQOo,james.rlKQOo,+886288782205,15
NISq6E,james.NISq6E,+886346838405,11
GwwNgh,may.GwwNgh,+886785666887,3
HEwoyg,may.HEwoyg,+886294508987,10
Fnsg96,may.Fnsg96,+886565538515,11
ETvBLi,vivian.ETvBLi,+886479951179,15
pR90Py,willy.pR90Py,+886994073754,14
Pq5IuC,kevin.Pq5IuC,+886318728984,17
JWKgJe,kevin.JWKgJe,+886369031692,2
KgdGM4,willy.KgdGM4,+886889616888,9
F97Eer,may.F97Eer,+886345233363,13
Jo4ZGw,tom.Jo4ZGw,+886763986856,5
zZbdJl,james.zZbdJl,+886338859683,17
mcX2g9,may.mcX2g9,+886088207008,19
aV1BMW,eve.aV1BMW,+886089668261,17
xUgFo2,may.xUgFo2,+886328600128,10
AxNjNA,eve.AxNjNA,+886085719860,16
CTw60W,eve.CTw60W,+886684863417,0
fVWpa9,percy.fVWpa9,+886441551098,3
FnUiWj,tom.FnUiWj,+886497680640,1
mQedqK,percy.mQedqK,+886806800355,20
vpmG0M,tim.vpmG0M,+886022571248,15
fpedB1,eden.fpedB1,+886284292565,4
o2pLER,james.o2pLER,+886111688704,16
kbZtt0,kevin.kbZtt0,+886555446453,9
yZl5qk,may.yZl5qk,+886827687532,19
jMjrAd,eve.jMjrAd,+886912007770,17
nDr4kB,eden.nDr4kB,+886407373036,3
Upd6lL,vivian.Upd6lL,+886640114217,0
QxLNUt,kevin.QxLNUt,+886482364842,19
FT7Evs,eve.FT7Evs,+886081940219,6
J3r48P,eve.J3r48P,+886327614633,1
HCAQ6k,tim.HCAQ6k,+886155475359,16
sml30k,eden.sml30k,+886981749141,12
A4QG2r,tim.A4QG2r,+886772281841,13
vfZ4cw,vivian.vfZ4cw,+886549381891,17
CElUwr,tom.CElUwr,+886825056868,6
R2WEqS,tom.R2WEqS,+886243552205,9
PyeQhx,eden.PyeQhx,+886345387275,17
UXRWFJ,percy.UXRWFJ,+886750834370,5
n6aj1G,willy.n6aj1G,+886693064900,11
zm1g4v,tom.zm1g4v,+886812819879,18
KyIlLT,willy.KyIlLT,+886470452012,0
Q8z7tZ,james.Q8z7tZ,+886864376953,19
OBCLXL,kevin.OBCLXL,+886414621154,2
ruifDv,kevin.ruifDv,+886739786045,6
jyO3xm,may.jyO3xm,+886431175000,6
pry6Co,eve.pry6Co,+886314730249,16
PwMGCH,may.PwMGCH,+886379398676,4
EinC3X,may.EinC3X,+886244301887,18
xFi31t,percy.xFi31t,+886355245628,2
PZ1p7O,tom.PZ1p7O,+886506503072,4
ftaV7B,vivian.ftaV7B,+886068110529,6
aj0qXX,may.aj0qXX,+886970464221,4
w8Oumz,may.w8Oumz,+886548021346,3
XUHAaF,vivian.XUHAaF,+886998511817,6
LGmbwC,may.LGmbwC,+886692780196,19
oTjlpi,kevin.oTjlpi,+886343754577,9
zO3gWl,vivian.zO3gWl,+886524223662,15
mWhcUr,kevin.mWhcUr,+886921519864,17
NOyfSH,kevin.NOyfSH,+886708537212,5
yzdhT7,eden.yzdhT7,+886060510108,17
wCMfjy,kevin.wCMfjy,+886234663123,4
PnBjhc,tom.PnBjhc,+886777382938,1
bGXQC2,tom.bGXQC2,+886156864625,6
OYxXoz,tom.OYxXoz,+886135931233,11
Dz5WHM,eve.Dz5WHM,+886786707481,20
EcKWbE,willy.EcKWbE,+886362837178,6
h3TmyE,willy.h3TmyE,+886632317762,0
kLMlfm,eve.kLMlfm,+886455411709,7
Ilc0AX,vivian.Ilc0AX,+886088018408,5
GHS4Sd,percy.GHS4Sd,+886007865168,13
Es9wV6,eden.Es9wV6,+886657383234,10
bKBKSM,kevin.bKBKSM,+886102332675,8
yehePG,tim.yehePG,+886824938091,12
ReTKsU,may.ReTKsU,+886077702089,2
DSQDRm,percy.DSQDRm,+886005201766,16
ZZdGu6,percy.ZZdGu6,+886333574177,6
ePdh5X,may.ePdh5X,+886993163795,0
Otufba,eden.Otufba,+886791087144,14
uncV0r,vivian.uncV0r,+886392514501,10
b8llA4,james.b8llA4,+886757157543,19
kXavyQ,james.kXavyQ,+886805063925,13
iGyFA0,vivian.iGyFA0,+886133612605,19
fILgtK,willy.fILgtK,+886657822069,6
JbVCDI,tim.JbVCDI,+886560249269,6
n4XPYv,kevin.n4XPYv,+886338741698,7
QAENlO,vivian.QAENlO,+886745007025,2
yrZUUS,james.yrZUUS,+886806268782,18
EYgulo,kevin.EYgulo,+886205622162,6
cGa5Cv,eden.cGa5Cv,+886782423814,8
qoNOdv,james.qoNOdv,+886423791160,10
HEmG9a,vivian.HEmG9a,+886877440415,6
D07hmU,vivian.D07hmU,+886654093835,17
pLOmYJ,willy.pLOmYJ,+886787008284,9
r2SMJK,tom.r2SMJK,+886029656298,7
HYnJuI,percy.HYnJuI,+886732021307,19
gTJnmK,eve.gTJnmK,+886177608614,12
ybfZ1k,eden.ybfZ1k,+886704642196,6
D1MSzI,james.D1MSzI,+886534010813,1
dKrOaB,james.dKrOaB,+886784196010,0
rRLOaI,james.rRLOaI,+886486209250,2
dG6gX8,vivian.dG6gX8,+886530750245,14
k1cVZz,tom.k1cVZz,+886337704345,7
ISexEC,james.ISexEC,+886907652003,12
YVHYFc,percy.YVHYFc,+886000652095,18
JKwJaV,james.JKwJaV,+886254597303,20
ULSkYW,may.ULSkYW,+886028446012,18
NN4OY9,eden.NN4OY9,+886450410701,2
kEkQ8M,tim.kEkQ8M,+886819872175,16
EIHold,tim.EIHold,+886934782401,3
E95aBj,james.E95aBj,+886821602495,7
H0n8zs,willy.H0n8zs,+886873544472,14
yCW1nW,james.yCW1nW,+886519229823,12
sIFy4d,vivian.sIFy4d,+886659888038,3
UCdJh3,eve.UCdJh3,+886931136453,4
iYtWRv,tom.iYtWRv,+886442311796,6
KM9F9K,vivian.KM9F9K,+886192983539,4
i8juWn,eden.i8juWn,+886854791807,15
GAiMsf,tom.GAiMsf,+886991220449,1
Et344P,may.Et344P,+886471301971,12
B8Q4vh,willy.B8Q4vh,+886819594001,17
YoUfdD,percy.YoUfdD,+886738540419,11
jlbrSD,percy.jlbrSD,+886134954056,10
AIA7yK,kevin.AIA7yK,+886942196647,8
tsyRZ6,tim.tsyRZ6,+886878620329,9
IzC5GG,tim.IzC5GG,+886858466542,8
NNCWJr,tim.NNCWJr,+886512514986,1
Oq0PlX,willy.Oq0PlX,+886078384917,7
NXbZJb,vivian.NXbZJb,+886198373485,5
uVBALu,tim.uVBALu,+886097444883,17
gtwE4m,tim.gtwE4m,+886606739806,19
